"ano";"semestre";"campus";"unidade_academica";"curso";"modalidade";"formato";"tipo_evasao";"evadidos"
2003;2;"OURO PRETO";"INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS";"FISICA-FIS";"";"PRESENCIAL";"CANCELAMENTO";2
2003;2;"OURO PRETO";"INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS";"FISICA-FIS";"";"PRESENCIAL";"DESLIGAMENTO";1
2003;2;"OURO PRETO";"INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS";"MATEMATICA - ITABIRITO-MIT";"LICENCIATURA";"PRESENCIAL";"CANCELAMENTO";5
2003;2;"OURO PRETO";"INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS";"MATEMATICA - ITABIRITO-MIT";"LICENCIATURA";"PRESENCIAL";"DESLIGAMENTO";2
2003;2;"OURO PRETO";"INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS";"MATEMATICA-MAT";"";"PRESENCIAL";"CANCELAMENTO";3
2003;2;"OURO PRETO";"INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS";"MATEMATICA-MAT";"";"PRESENCIAL";"DESLIGAMENTO";1
2003;2;"OURO PRETO";"INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS";"MATEMATICA-MAT";"";"PRESENCIAL";"TRANSFERENCIA";1
2003;2;"OURO PRETO";"INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS";"QUIMICA INDUSTRIAL-QUI";"BACHARELADO";"PRESENCIAL";"CANCELAMENTO";3
2003;2;"OURO PRETO";"INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS";"QUIMICA INDUSTRIAL-QUI";"BACHARELADO";"PRESENCIAL";"DESLIGAMENTO";2
2003;2;"OURO PRETO";"INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS";"QUIMICA INDUSTRIAL-QUI";"BACHARELADO";"PRESENCIAL";"TRANSFERENCIA";1
2003;2;"OURO PRETO";"INSTITUTO DE FILOSOFIA, ARTES E CULTURA";"ARTES CENICAS-ACE";"";"PRESENCIAL";"DESLIGAMENTO";3
2003;2;"OURO PRETO";"INSTITUTO DE FILOSOFIA, ARTES E CULTURA";"FILOSOFIA-FIL";"LICENCIATURA";"PRESENCIAL";"CANCELAMENTO";1
2003;2;"OURO PRETO";"INSTITUTO DE FILOSOFIA, ARTES E CULTURA";"FILOSOFIA-FIL";"LICENCIATURA";"PRESENCIAL";"DESLIGAMENTO";10
2003;2;"OURO PRETO";"INSTITUTO DE FILOSOFIA, ARTES E CULTURA";"FILOSOFIA-FIL";"LICENCIATURA";"PRESENCIAL";"NRM";4
2003;2;"OURO PRETO";"INSTITUTO DE FILOSOFIA, ARTES E CULTURA";"MUSICA-MUS";"LICENCIATURA";"PRESENCIAL";"CANCELAMENTO";1
2003;2;"OURO PRETO";"INSTITUTO DE FILOSOFIA, ARTES E CULTURA";"MUSICA-MUS";"LICENCIATURA";"PRESENCIAL";"DESLIGAMENTO";5
2004;1;"JOÃO MONLEVADE";"INSTITUTO DE CIENCIAS EXATAS E APLICADAS";"ENGENHARIA DE PRODUCAO-PJM";"BACHARELADO";"PRESENCIAL";"CANCELAMENTO";4
2004;1;"JOÃO MONLEVADE";"INSTITUTO DE CIENCIAS EXATAS E APLICADAS";"ENGENHARIA DE PRODUCAO-PJM";"BACHARELADO";"PRESENCIAL";"DESLIGAMENTO";3
2004;1;"MARIANA";"INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS";"HISTORIA-HIS";"";"PRESENCIAL";"CANCELAMENTO";5
2004;1;"MARIANA";"INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS";"HISTORIA-HIS";"";"PRESENCIAL";"DESLIGAMENTO";3
2004;1;"MARIANA";"INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS";"HISTORIA-HIS";"";"PRESENCIAL";"NRM";18
